date,temperature,rainfall,humidity,co2,sea_level
1995-01-01,26.165561867580813,66.72555280090269,51.843906298225164,351.5054212022122,-2.7238935660658967
1995-01-02,25.067864161120557,55.97323764565799,46.27836541661476,348.8736489252473,-0.03352321068413355
1995-01-03,26.811927042904863,61.20085886461049,56.65716987232523,348.9027046897427,0.9169152243034233
1995-01-04,28.73461392254566,54.08775122745258,68.25559063254127,350.7202916405857,-2.020004467206151
1995-01-05,25.39204782686968,60.19523648206763,68.00798831226723,353.91048650868737,-3.5657022844706567
1995-01-06,25.56362629675334,46.156255571205634,58.46904193721103,346.95382299656023,-1.0163199700154313
1995-01-07,29.361565963421135,50.22433816384617,60.531886324480155,345.9840240976329,2.402480669670762
1995-01-08,27.908893710086762,58.984786419354386,60.42101006448518,349.5219735534746,-2.7432658669092627
1995-01-09,25.605552612656673,59.59334764214506,56.41901568603778,352.11822127633815,0.12343705360844474
1995-01-10,27.79964135410594,61.92784399669158,58.68170352551283,350.1663451761298,-1.885928737155852
1995-01-11,25.957198185162227,68.53299731651705,68.67028179386881,347.7319992005582,3.4915198139675603
1995-01-12,26.121528611135854,43.954468276590646,66.62152935426938,350.23591177733994,-1.403230196466281
1995-01-13,27.705259439999374,49.13233504406365,65.80387455273275,346.61884424725963,2.1132043052616325
1995-01-14,23.562463584805023,61.842637050980535,58.0977222618147,351.34969068419315,3.1829903336753103
1995-01-15,24.106170347432396,52.970495486612876,65.61058197249363,349.4807064189575,4.77282560201543
1995-01-16,26.597656225391173,94.65600871425784,53.919938303242,349.9419233421916,-3.900953906332207
1995-01-17,25.861988443904774,66.69649350692572,69.98366211391485,350.96742517172356,-4.024749612267029
1995-01-18,28.68070991475644,61.41354049694999,67.39129899681149,350.53149795487235,3.6758385690424613
1995-01-19,26.399828116119693,57.696093736855985,59.699230973348136,349.0446668620767,3.1952309306284694
1995-01-20,25.553977890744495,58.699293151834084,74.83258577933248,352.2014775742507,-1.649404538822054
1995-01-21,31.47159170431624,64.44845150020663,58.09269914768453,351.73518291765475,-9.49900439672569
1995-01-22,28.249402419878546,65.9088010418395,70.04602176906148,346.5998152933469,0.46523687432252525
1995-01-23,28.995576710992278,60.85954480280916,70.48912696976545,349.69496422426903,-4.319318921769911
1995-01-24,26.169446406048646,63.327997103039905,61.83140758735706,348.00194186924057,-2.2393252469397353
1995-01-25,28.0874101107241,80.13058985683864,68.15461859819575,347.63346514766107,0.7979493621976171
1995-01-26,29.55401728581081,81.1560733285276,60.47137264024431,351.246914482494,1.211900776403243
